time,open,high,low,close
2023-11-22,14283.8182,14359.6078,14226.6314,14265.8573
2023-11-24,14238.035,14270.2792,14214.1281,14250.8549
2023-11-27,14239.3086,14305.7096,14205.2353,14241.0225
2023-11-28,14224.6276,14303.655,14195.7212,14281.7556
2023-11-29,14367.1113,14423.2177,14247.8862,14258.4898
2023-11-30,14265.0463,14289.2003,14127.0547,14226.2183
12/01/2023,14181.3545,14311.9472,14135.0044,14305.0323
12/04/2023,14168.6643,14197.5161,14058.5209,14185.4937
12/05/2023,14126.4017,14285.6585,14121.7613,14229.9121
12/06/2023,14325.6196,14327.6348,14138.5089,14146.7121
12/07/2023,14230.4346,14353.1102,14220.8677,14339.9941
12/08/2023,14279.4553,14416.9166,14264.9604,14403.9725
12/11/2023,14340.1277,14436.0795,14324.5666,14432.4864
12/12/2023,14423.0074,14533.3968,14385.3923,14533.3968
2023-12-13,14555.6828,14743.5547,14517.5245,14733.9639
2023-12-14,14798.7212,14855.6187,14642.2319,14761.5588
2023-12-15,14797.4626,14848.4049,14753.155,14813.9198
2023-12-18,14814.0205,14938.0384,14811.8177,14904.8131
2023-12-19,14923.0158,15003.798,14921.5981,15003.2232
2023-12-20,14973.3624,15069.2925,14776.2861,14777.9426
2023-12-21,14923.1382,14970.8062,14837.474,14963.8663
2023-12-22,15006.177,15047.1911,14927.1165,14992.9726
2023-12-26,15028.6879,15101.1816,15024.0637,15074.573
2023-12-27,15089.6634,15114.082,15051.6708,15099.1763
2023-12-28,15142.0948,15150.0668,15087.2227,15095.1363
2023-12-29,15099.1955,15111.4051,14955.3692,15011.3524
01/02/2024,14873.7033,14887.8029,14682.3818,14765.9396
01/03/2024,14641.4719,14694.5826,14577.4399,14592.2106
01/04/2024,14532.2298,14632.7729,14504.779,14510.3
01/05/2024,14500.1073,14625.1885,14477.5681,14524.0732
01/08/2024,14564.4668,14846.8967,14560.1969,14843.7683
01/09/2024,14744.129,14894.3214,14716.7143,14857.7095
01/10/2024,14877.6965,14998.1964,14842.6972,14969.6496
01/11/2024,15020.9517,15063.6113,14800.3831,14970.185
01/12/2024,15001.0102,15047.2455,14931.8804,14972.7595
2024-01-16,14908.2601,15004.3468,14863.8076,14944.3468
2024-01-17,14814.7702,14865.7562,14706.234,14855.6218
2024-01-18,14994.5197,15066.8072,14911.108,15055.6481
2024-01-19,15122.379,15310.9688,15087.2032,15310.9679
2024-01-22,15393.0474,15438.8478,15333.6281,15360.2856
2024-01-23,15391.4116,15432.3536,15337.227,15425.943
2024-01-24,15560.6105,15629.0722,15468.9059,15481.9176
2024-01-25,15555.6218,15597.2536,15430.6762,15510.4956
2024-01-26,15474.8518,15538.8379,15433.0382,15455.3635
2024-01-29,15470.6559,15630.5848,15449.8677,15628.0445
2024-01-30,15604.0772,15619.2313,15484.6712,15509.8969
2024-01-31,15324.188,15405.555,15158.4922,15164.0118
02/01/2024,15254.0232,15372.1291,15208.8818,15361.6417
02/02/2024,15403.1576,15664.2116,15366.7838,15628.9543
02/05/2024,15613.9932,15637.8767,15471.6801,15597.677
02/06/2024,15638.1943,15652.7502,15515.2479,15608.9984
02/07/2024,15690.3545,15770.6751,15645.8052,15756.6441
02/08/2024,15762.232,15813.2666,15739.1806,15793.7145
02/09/2024,15842.3792,16007.2904,15831.757,15990.664
02/12/2024,15980.6187,16080.0733,15917.873,15942.5454
2024-02-13,15598.8759,15770.4195,15551.4439,15655.5991
2024-02-14,15781.7102,15865.5086,15683.942,15859.1462
2024-02-15,15865.2976,15911.2235,15779.7154,15906.1735
2024-02-16,15910.4339,15917.411,15752.024,15775.6544
2024-02-20,15679.8432,15730.4686,15508.4957,15630.7829
2024-02-21,15532.1197,15583.6824,15451.6521,15580.8696
2024-02-22,15904.4774,16061.8202,15869.2363,16041.6212
2024-02-23,16094.8041,16134.218,15954.4997,15996.8231
2024-02-26,16014.45,16054.8983,15973.904,15976.2506
2024-02-27,16013.9793,16046.0974,15940.507,16035.3004
2024-02-28,15969.1404,16003.5562,15924.7228,15947.7383
2024-02-29,16059.3401,16115.9584,15931.6955,16091.9224
03/01/2024,16109.8251,16302.2401,16096.5991,16274.9416
03/04/2024,16264.2111,16289.0596,16199.0562,16207.5093
03/05/2024,16077.7375,16087.565,15862.6275,15939.5877
03/06/2024,16091.9964,16128.5576,15956.6582,16031.5425
03/07/2024,16147.3187,16309.0226,16096.0142,16273.3752
03/08/2024,16322.1029,16449.704,16059.5025,16085.1131
03/11/2024,16052.6253,16085.9454,15978.0424,16019.2742
03/12/2024,16116.98,16275.4541,15992.9819,16265.636
2024-03-13,16220.1084,16233.2955,16143.3429,16177.7663
2024-03-14,16209.1919,16245.3179,16039.6765,16128.5295
2024-03-15,16043.5778,16055.3263,15925.9083,15973.1739
2024-03-18,16154.92,16247.5901,16094.1663,16103.448
2024-03-19,16031.9271,16175.5861,15951.8562,16166.7912
2024-03-20,16185.7574,16377.4361,16127.4803,16369.4075
2024-03-21,16517.2388,16538.8644,16393.9014,16401.836
2024-03-22,16387.8307,16467.6154,16360.9967,16428.8185
2024-03-25,16335.3024,16441.1675,16315.7187,16384.4669
2024-03-26,16446.8495,16476.3773,16312.9531,16315.6987
2024-03-27,16424.7559,16431.8246,16279.1718,16399.5206
2024-03-28,16377.2292,16420.9215,16347.3788,16379.4583
04/01/2024,16397.0495,16490.654,16327.8943,16396.8321
04/02/2024,16199.2355,16251.4123,16137.2367,16240.449
04/03/2024,16178.7952,16340.7445,16169.3088,16277.458
04/04/2024,16418.5673,16468.0432,16046.5619,16049.0819
04/05/2024,16095.3982,16326.4964,16080.4846,16248.5202
04/08/2024,16285.1757,16323.5957,16220.7167,16253.9552
04/09/2024,16328.7564,16348.1756,16141.1541,16306.6391
04/10/2024,16104.0127,16200.098,16092.0202,16170.3603
04/11/2024,16236.2003,16464.6029,16154.653,16442.1979
04/12/2024,16293.0323,16341.455,16125.3266,16175.0941
2024-04-15,16276.4745,16295.2727,15863.8815,15885.0186
2024-04-16,15856.3804,15965.7917,15822.0233,15865.2513
2024-04-17,15942.286,15957.0279,15654.5139,15683.3725
2024-04-18,15705.6947,15786.1187,15587.5025,15601.4989
2024-04-19,15547.1003,15576.704,15222.7771,15282.0097
2024-04-22,15396.1296,15539.0023,15265.6559,15451.3053
2024-04-23,15525.5516,15730.3491,15510.585,15696.64
2024-04-24,15805.6014,15838.9984,15634.4375,15712.7486
2024-04-25,15375.2637,15644.5136,15343.9142,15611.7598
2024-04-26,15821.3352,15980.9986,15770.7199,15927.9003
2024-04-29,16006.9982,16021.4948,15885.8915,15983.0843
2024-04-30,15920.8861,15979.3639,15655.6668,15657.8223
05/01/2024,15646.0937,15926.2199,15557.6426,15605.4813
05/02/2024,15758.1132,15862.7874,15604.7256,15840.9583
05/03/2024,16147.4818,16204.7121,16068.3406,16156.328
05/06/2024,16208.5375,16350.0844,16197.8607,16349.2451
05/07/2024,16358.3434,16397.3925,16303.8395,16332.5553
05/08/2024,16226.0673,16341.6469,16226.0673,16302.7558
05/09/2024,16323.7384,16362.7886,16241.977,16346.2647
05/10/2024,16389.0238,16437.3911,16293.52,16340.8686
2024-05-13,16400.3075,16407.0545,16334.8613,16388.2378
2024-05-14,16391.1612,16526.2718,16386.4347,16511.1798
2024-05-15,16601.1399,16749.7444,16544.0867,16742.3903
2024-05-16,16738.1055,16797.8343,16693.4453,16698.3207
2024-05-17,16708.4883,16726.4096,16613.8362,16685.966
2024-05-20,16702.023,16823.8269,16695.6919,16794.8742
2024-05-21,16736.0971,16839.0204,16719.9657,16832.6244
2024-05-22,16839.0211,16855.2701,16712.0926,16801.5439
2024-05-23,16996.3853,16996.3853,16678.3693,16736.0332
2024-05-24,16786.7944,16947.7953,16771.5811,16920.7944
2024-05-28,16988.3148,17032.6554,16917.5116,17019.8801
2024-05-29,16879.3491,16989.6005,16873.9728,16920.5804
2024-05-30,16878.6278,16900.4584,16690.359,16737.0791
2024-05-31,16771.8959,16789.2661,16445.5365,16735.0153
06/03/2024,16865.7044,16909.8872,16646.4301,16828.6699
06/04/2024,16823.8821,16891.8741,16750.3889,16857.0472
06/05/2024,16974.4773,17187.918,16955.5608,17187.9046
06/06/2024,17204.8707,17235.7261,17123.5924,17173.1207
06/07/2024,17124.1354,17229.3085,17090.0448,17133.1259
06/10/2024,17083.4458,17213.4468,17057.3354,17192.5289
06/11/2024,17160.4242,17345.0515,17107.9857,17343.5463
06/12/2024,17502.1498,17725.3908,17490.643,17608.4356
2024-06-13,17715.265,17741.7983,17566.319,17667.5596
2024-06-14,17621.1815,17693.431,17590.8014,17688.8821
2024-06-17,17697.3018,17935.9852,17636.3601,17857.0202
2024-06-18,17856.7586,17890.5176,17796.8784,17862.2321
2024-06-20,17913.9421,17936.7924,17650.6946,17721.5873
2024-06-21,17681.0068,17787.3359,17620.5688,17689.3607
2024-06-24,17640.2586,17730.1195,17494.0182,17496.8169
2024-06-25,17572.1566,17734.3447,17546.6319,17717.6536
2024-06-26,17697.265,17813.549,17687.0665,17805.1559
2024-06-27,17793.9537,17892.7808,17765.4205,17858.6837
2024-06-28,17891.0952,18034.9972,17723.8297,17732.6027
07/01/2024,17773.8966,17894.284,17657.6418,17879.2996
07/02/2024,17808.0369,18031.2882,17802.2375,18028.763
07/03/2024,18016.1235,18188.3015,18016.1235,18188.3015
07/05/2024,18200.5984,18366.309,18197.1353,18352.7589
07/08/2024,18371.8587,18416.9409,18342.5997,18403.7381
07/09/2024,18465.0239,18511.8896,18381.6044,18429.291
07/10/2024,18512.0902,18655.1917,18467.5815,18647.4482
07/11/2024,18659.2461,18671.0694,18238.7818,18283.4067
07/12/2024,18303.6412,18556.7258,18293.5954,18398.4455
